YEAR,TOTAL_MVM,N_IDS
2000,22184.46,36
2001,20258.5,36
2002,20102.19,43
2003,20985.95,46
2004,19669.3,48
2005,18612.96,49
2006,17278.63,44
2007,18895.72,45
2008,18424.061,46
2009,17490.94,50
2010,17710.07,52
2011,16865.343,59
2012,17211.676,58
2013,15978.193,55
2014,16051.834,57
2015,16366.024,57
2016,16247.089,55
2017,16786.279,54
2018,16892.579999999998,56
2019,16458.845,57
2020,15786.589,58
2021,15449.781,54
2022,15726.619999999999,64
