YEAR,MVM
2000,966.0
2001,942.9
2002,978.1
2003,1545.1
2004,1171.8
2005,1305.8
2006,1460.5
2007,18913.9
2008,39953.5
2009,40464.42
2010,39777.92
2011,42783.53
2012,43046.51
2013,42891.417
2014,43018.205
2015,24545.196
2016,31705.396
2017,33669.808
2018,27854.647
2019,16806.443
2020,6540.491
2021,9301.455
2022,10238.01
