OBEC,MVM
Březová,448423.218
Hroznětín,27418.986
Sadov,2343.684
Otročín,842.155
Hradiště,498.756
Lipová,208.60999999999999
Milíkov,128.85999999999999
Šemnice,7.718999999999999
Kraslice,7.199999999999999
Kyselka,1.8599999999999999
