YEAR,TOTAL_MVM,N_IDS
2000,46.0,1
2001,44.9,1
2002,62.5,2
2003,89.5,2
2004,55.8,1
2005,90.60000000000001,2
2006,80.9,2
2007,3576.7,4
2008,5736.3,4
2009,5789.7,5
2010,5692.9800000000005,4
2011,6061.822,5
2012,6113.3910000000005,6
2013,6083.753,5
2014,6093.822,6
2015,2968.319,4
2016,3868.582,4
2017,4139.728,4
2018,3397.982,5
2019,2010.183,6
2020,745.721,6
2021,1098.4370000000001,6
2022,1189.966,8
