YEAR,MVM
2000,274319.16
2001,173129.34
2002,203139.59
2003,233963.22
2004,222330.47
2005,245114.63
2006,234983.22
2007,241720.61
2008,335892.23
2009,310498.45
2010,297764.88
2011,315621.396
2012,445471.298
2013,369960.213
2014,257259.309
2015,305333.266
2016,390935.919
2017,289889.171
2018,287579.608
2019,208863.791
2020,164287.35
2021,156904.519
2022,175411.435
