SYSTEM,TOTAL_MVM,N_IDS,SHARE_%,CUM_SHARE_%
VAK_KARLOVY_VARY,168664.24,7,41.39673947487604,41.39673947487604
VOSS,92641.14700000001,13,22.737726900572966,64.13446637544901
CHEVAK,80818.378,27,19.835961308977254,83.97042768442626
OTHER,43091.512,28,10.576326646611605,94.54675433103786
KMS_KRASLICE,9181.612000000001,3,2.2535233308696356,96.8002776619075
NEJDEK,8392.593,4,2.0598674973406834,98.86014515924819
ROTAVA,4644.152,3,1.139854840751807,100.0
