ID,TOTAL_MVM,NAZICO,OBEC,SHARE_%,CUM_SHARE_%,RANK,SYSTEM
322850_POD,31.358,Zámek Lužec u Nejdku,Nejdek,0.0076964681811222,99.9721061320136,69,OTHER
322180_POD,27.709,Obec Milíkov prameniště,Milíkov,0.0068008621988237,99.97890699421242,70,OTHER
320207_POD,22.0,Vak K.Vary Bečov nad Teplou,Bečov nad Teplou,0.0053996524008128,99.98430664661323,71,VAK_KARLOVY_VARY
320316_POD,19.828,VOSS Stříbrná - vrt 2020,Stříbrná,0.0048665594456053,99.98917320605884,72,VOSS
320304_POD,11.831,"Vak Březová Kamenice S1,2",Březová,0.0029037857979098,99.99207699185676,73,OTHER
320237_POD,9.567,Vodní zdroj Lučiny,Hradiště,0.0023481124781171,99.99442510433488,74,OTHER
321282_POD,7.718999999999999,"Vodovod Sedlečko - Šemnice, Sedlečko",Šemnice,0.0018945416764488,99.99631964601132,75,OTHER
370077_POD,4.192,Obec Dolní Nivy -Horní Rozmyšl,Dolní Nivy,0.0010288792211003,99.9973485252324,76,OTHER
370075_POD,3.065,Obec Dolní Nivy,Dolní Nivy,0.0007522697549314,99.99810079498734,77,OTHER
370290_POD,2.035,VOSS Jindřichovice U Bartošů,Jindřichovice,0.0004994678470751,99.99860026283442,78,VOSS
321283_POD,1.86,Vodovod Nová Kyselka,Kyselka,0.0004565160666141,99.99905677890104,79,OTHER
370289_POD,1.032,VOSS Hrušková,Sokolov,0.0002532927853472,99.99931007168638,80,VOSS
370196_POD,0.885,Casina Admirál Svatý Kříž - Háje u Chebu,Cheb,0.0002172132897599,99.99952728497614,81,OTHER
320331_POD,0.748,VOSS studna Nadlesí,Loket,0.0001835881816276,99.99971087315777,82,VOSS
320303_POV,0.536,VOSS Podstrání,Rovná,0.0001315551675834,99.99984242832537,83,VOSS
370203_POD,0.447,CHEVAK - vodní zdroj Těšov,Milíkov,0.0001097111192346,99.9999521394446,84,CHEVAK
370053_POD,0.195,VOSS Lobzy,Březová,4.786055537084106e-05,99.99999999999996,85,VOSS
