DTM,TOTAL_MVM,N_IDS
2015-08-15,1640.857,57
2015-09-15,1336.6270000000002,57
2015-10-15,1420.146,57
2015-11-15,1298.498,57
2015-12-15,1296.974,57
2016-01-15,1347.798,54
2016-02-15,1246.294,54
2016-03-15,1347.322,54
2016-04-15,1309.842,54
2016-05-15,1426.937,54
2016-06-15,1351.285,55
2016-07-15,1363.905,54
2016-08-15,1420.3049999999998,54
2016-09-15,1430.742,54
2016-10-15,1382.9560000000001,54
2016-11-15,1294.439,54
2016-12-15,1325.264,54
2017-01-15,1410.847,54
2017-02-15,1293.98,54
2017-03-15,1430.08,54
2017-04-15,1376.899,54
2017-05-15,1450.088,54
2017-06-15,1425.279,54
2017-07-15,1431.8400000000001,54
2017-08-15,1510.856,54
2017-09-15,1409.549,54
2017-10-15,1367.721,54
2017-11-15,1326.135,54
2017-12-15,1353.0049999999999,54
2018-01-15,1392.201,56
2018-02-15,1239.167,56
2018-03-15,1411.602,56
2018-04-15,1347.498,56
2018-05-15,1481.844,56
2018-06-15,1437.653,56
2018-07-15,1492.745,56
2018-08-15,1569.0259999999998,56
2018-09-15,1388.091,56
2018-10-15,1421.164,56
2018-11-15,1367.239,56
2018-12-15,1344.3500000000001,56
2019-01-15,1360.827,57
2019-02-15,1255.924,57
2019-03-15,1350.82,57
2019-04-15,1331.095,57
2019-05-15,1382.1160000000002,57
2019-06-15,1428.6019999999999,57
2019-07-15,1559.8110000000001,57
2019-08-15,1439.5349999999999,57
2019-09-15,1451.864,57
2019-10-15,1331.802,57
2019-11-15,1252.316,57
2019-12-15,1314.133,57
2020-01-15,1313.977,58
2020-02-15,1232.4180000000001,58
2020-03-15,1310.1309999999999,58
2020-04-15,1269.428,58
2020-05-15,1297.909,58
2020-06-15,1306.4759999999999,58
2020-07-15,1426.016,58
2020-08-15,1452.564,58
2020-09-15,1352.498,58
2020-10-15,1366.544,58
2020-11-15,1193.161,58
2020-12-15,1265.4669999999999,58
2021-01-15,1249.722,54
2021-02-15,1183.731,54
2021-03-15,1261.47,54
2021-04-15,1229.911,54
2021-05-15,1297.856,54
2021-06-15,1385.498,54
2021-07-15,1340.393,54
2021-08-15,1332.0169999999998,54
2021-09-15,1260.262,54
2021-10-15,1321.02,54
2021-11-15,1284.37,54
2021-12-15,1303.531,54
2022-01-15,1268.982,64
2022-02-15,1171.252,64
2022-03-15,1335.88,64
2022-04-15,1295.586,64
2022-05-15,1413.512,64
2022-06-15,1415.9479999999999,64
2022-07-15,1386.334,64
2022-08-15,1378.48,64
2022-09-15,1253.985,64
2022-10-15,1269.998,64
2022-11-15,1252.737,64
2022-12-15,1283.926,64
