MONTH,MVM,SEASONAL_FACTOR,MONTH_NAME
1,1560.4262173913044,1.0018139449763444,Jan
2,1440.204086956522,0.9246297722022672,Feb
3,1580.3527826086956,1.0146070592471597,Mar
4,1536.1734782608694,0.9862433707358255,Apr
5,1582.1727391304346,1.0157754950260565,May
6,1571.230695652174,1.0087505606710154,Jun
7,1607.0589130434785,1.031752742642976,Jul
8,1623.9517391304348,1.0425981568992588,Aug
9,1551.7188695652173,0.9962237143209554,Sep
10,1567.1230869565218,1.006113422416129,Oct
11,1557.6482173913043,1.0000304328127272,Nov
12,1513.1489565217391,0.9714613280492872,Dec
