OBEC,MVM
Karlovy Vary,8591.682999999999
Dolní Rychnov,3584.37
Lázně Kynžvart,2922.738
Cheb,1182.067
Pomezí Nad Ohří,205.434
Sokolov,45.43
Doupovské Hradiště,1.377
Nový Kostel,0.4
Svatava,0.21300000000000002
Šabina,0.012
