DTM,TOTAL_MVM,N_IDS
2019-09-15,8.196,8
2019-10-15,3.205,8
2019-11-15,0.78,8
2019-12-15,0.342,8
2020-01-15,0.245,7
2020-02-15,0.356,7
2020-03-15,0.49,7
2020-04-15,13.784,7
2020-05-15,9.084999999999999,7
2020-06-15,10.542,7
2020-07-15,22.587,7
2020-08-15,17.726,7
2020-09-15,14.463000000000001,7
2020-10-15,4.15,7
2020-11-15,1.6099999999999999,7
2020-12-15,0.363,7
2021-01-15,0.284,5
2021-02-15,0.063,5
2021-03-15,0.37,5
2021-04-15,3.573,5
2021-05-15,3.901,5
2021-06-15,13.015,5
2021-07-15,7.4879999999999995,5
2021-08-15,3.882,5
2021-09-15,2.105,5
2021-10-15,1.5990000000000002,5
2021-11-15,0.082,5
2021-12-15,0.001,5
2022-01-15,0.318,15
2022-02-15,0.319,15
2022-03-15,1.7919999999999998,15
2022-04-15,4.542,15
2022-05-15,22.692,15
2022-06-15,48.160000000000004,15
2022-07-15,34.580999999999996,15
2022-08-15,30.021,15
2022-09-15,8.421000000000001,15
2022-10-15,6.98,15
2022-11-15,1.7389999999999999,15
2022-12-15,0.304,15
