YEAR,MVM
2000,403399.76
2001,322028.6
2002,324797.3
2003,360452.36
2004,359220.95
2005,355129.55
2006,355223.0
2007,364516.9
2008,360999.96
2009,333230.06
2010,350645.3
2011,284784.02
2012,265331.27
2013,242309.796
2014,240751.445
2015,307212.505
2016,299289.205
2017,331539.514
2018,318114.593
2019,287777.733
2020,224989.654
2021,234579.408
2022,234049.658
